,Cerrar,Var neta,Núm de ticks,Volumen,rango,MVA5
11:30 - 12:30,374.54,0.96,1965.0,297980,3.0,375.8140000000003
15:30 - 16:30,375.43,0.35,2254.0,668206,0.839999999999975,374.64400000000035
18FEB2015_00:00:00.000000,374.41,-1.02,4017.0,563642,3.1499999999999773,374.8100000000003
09:30 - 10:30,374.41,-1.02,4017.0,563642,3.1499999999999773,374.7840000000003
10:30 - 11:30,375.59,1.18,2140.0,300662,2.329999999999984,374.8200000000003
11:30 - 12:30,374.7,-0.89,1076.0,154742,1.5400000000000205,374.9080000000003
15:30 - 16:30,373.37,-0.7,1910.0,299030,0.9099999999999682,374.49400000000026
19FEB2015_00:00:00.000000,381.5,8.13,5559.0,869839,8.449999999999989,375.6760000000003
09:30 - 10:30,381.5,8.13,5559.0,869839,8.449999999999989,377.0360000000002
10:30 - 11:30,380.75,-0.75,2274.0,334726,1.9399999999999977,378.2380000000002
11:30 - 12:30,379.99,-0.76,1705.0,244357,1.6000000000000227,379.42200000000025
15:30 - 16:30,378.99,-0.21,1448.0,361774,0.9700000000000273,379.60600000000034
20FEB2015_00:00:00.000000,377.04,-1.95,3403.0,652355,3.840000000000032,378.8640000000003
09:30 - 10:30,377.04,-1.95,3403.0,652355,3.840000000000032,378.2740000000003
10:30 - 11:30,377.62,0.58,1744.0,244408,1.8899999999999864,377.9160000000003
11:30 - 12:30,379.58,1.96,1561.0,218092,2.3899999999999864,378.05400000000037
15:30 - 16:30,383.66,0.21,2259.0,416555,0.589999999999975,381.1220000000003
23FEB2015_00:00:00.000000,379.98,-3.68,3347.0,613800,5.480000000000018,381.59400000000034
09:30 - 10:30,379.98,-3.68,3347.0,613800,5.480000000000018,381.6740000000003
10:30 - 11:30,380.03,0.05,1520.0,216927,1.9300000000000068,381.2180000000003
11:30 - 12:30,380.56,0.53,1285.0,180860,1.5300000000000296,380.84200000000027
15:30 - 16:30,380.14,1.32,1527.0,314047,1.3600000000000136,380.1140000000002
24FEB2015_00:00:00.000000,379.38,-0.76,3148.0,501411,4.319999999999993,379.98400000000026
09:30 - 10:30,379.38,-0.76,3148.0,501411,4.319999999999993,379.7480000000002
10:30 - 11:30,379.21,-0.17,1619.0,228022,1.8600000000000136,379.64400000000023
11:30 - 12:30,378.0,-1.21,1415.0,203240,1.7300000000000182,379.2220000000002
15:30 - 16:30,378.59,0.42,1502.0,279335,0.8899999999999864,378.68200000000024
25FEB2015_00:00:00.000000,383.03,4.44,4014.0,586336,6.949999999999989,379.44600000000025
09:30 - 10:30,383.03,4.44,4014.0,586336,6.949999999999989,380.4520000000002
10:30 - 11:30,385.05,2.02,2920.0,463736,3.1399999999999864,381.72000000000025
11:30 - 12:30,384.49,-0.56,1483.0,199556,1.829999999999984,382.8380000000002
15:30 - 16:30,385.48,1.13,1916.0,459481,1.7200000000000273,385.4900000000001
26FEB2015_00:00:00.000000,386.37,0.89,4664.0,810279,5.850000000000023,385.75400000000013
09:30 - 10:30,386.37,0.89,4664.0,810279,5.850000000000023,386.13000000000017
10:30 - 11:30,387.7,1.33,2690.0,496243,3.2299999999999613,386.58000000000015
11:30 - 12:30,384.95,-2.75,1779.0,294903,3.4600000000000364,386.17400000000015
15:30 - 16:30,384.79,-0.39,1331.0,259917,0.75,385.30200000000025
27FEB2015_00:00:00.000000,383.42,-1.37,2994.0,478199,3.490000000000009,384.44600000000025
09:30 - 10:30,383.42,-1.37,2994.0,478199,3.490000000000009,384.1400000000002
10:30 - 11:30,382.65,-0.77,1179.0,189007,1.490000000000009,383.63600000000014
11:30 - 12:30,382.36,-0.29,1068.0,156050,1.2299999999999613,383.32800000000015
15:30 - 16:30,380.16,-0.47,2322.0,479767,0.9099999999999682,381.5840000000002
02MAR2015_00:00:00.000000,385.0,4.84,3778.0,571057,5.930000000000007,382.0540000000002
09:30 - 10:30,385.0,4.84,3778.0,571057,5.930000000000007,382.58200000000016
10:30 - 11:30,385.49,0.49,1645.0,247904,1.7799999999999727,383.4740000000001
11:30 - 12:30,383.53,-1.96,1199.0,163502,2.589999999999975,383.8360000000001
15:30 - 16:30,385.65,0.31,1713.0,333762,0.5699999999999932,384.91
03MAR2015_00:00:00.000000,384.22,-1.43,3513.0,627260,4.5,384.65600000000006
09:30 - 10:30,384.22,-1.43,3513.0,627260,4.5,384.7940000000001
10:30 - 11:30,383.05,-1.17,1537.0,224301,2.4700000000000273,384.46600000000007
11:30 - 12:30,382.67,-0.38,939.0,130922,1.5900000000000318,383.9620000000001
15:30 - 16:30,384.61,0.25,1081.0,210857,0.8500000000000227,383.88800000000003
04MAR2015_00:00:00.000000,384.33,-0.28,4655.0,753200,4.75,384.1440000000001
09:30 - 10:30,384.33,-0.28,4655.0,753200,4.75,384.4760000000001
10:30 - 11:30,383.99,-0.34,1800.0,248785,2.099999999999966,384.4200000000002
11:30 - 12:30,384.7,0.71,1050.0,135209,1.3199999999999932,384.39200000000017
15:30 - 16:30,382.72,-1.05,1807.0,315661,1.829999999999984,384.1220000000001
05MAR2015_00:00:00.000000,387.79,5.07,3645.0,665372,4.360000000000014,384.8820000000001
09:30 - 10:30,387.79,5.07,3645.0,665372,4.360000000000014,385.5000000000001
10:30 - 11:30,386.41,-1.38,2458.0,377784,3.230000000000018,385.74600000000015
11:30 - 12:30,386.51,0.1,772.0,96877,0.9800000000000182,386.24400000000014
15:30 - 16:30,387.69,-0.21,2165.0,362167,0.7899999999999636,387.2260000000002
06MAR2015_00:00:00.000000,385.86,-1.83,2710.0,496854,2.7900000000000205,387.1160000000002
09:30 - 10:30,385.86,-1.83,2710.0,496854,2.7900000000000205,386.9860000000002
10:30 - 11:30,383.62,-2.24,1597.0,256957,2.930000000000007,386.20400000000024
11:30 - 12:30,381.96,-1.66,1605.0,224911,2.2799999999999727,384.99800000000016
15:30 - 16:30,380.09,0.73,1932.0,454892,1.3899999999999864,381.4260000000001
09MAR2015_00:00:00.000000,375.89,-4.2,3875.0,592089,3.8799999999999955,379.8800000000001
08:30 - 09:30,375.89,-4.2,3875.0,592089,3.8799999999999955,378.66600000000005
09:30 - 10:30,377.72,1.83,2107.0,326303,2.670000000000016,378.038
10:30 - 11:30,376.39,-1.33,1554.0,249168,1.8999999999999773,377.196
11:30 - 12:30,377.5,1.11,789.0,113133,1.3000000000000114,376.678
14:30 - 15:30,378.56,0.1,1230.0,238026,0.8899999999999864,377.5000000000001
10MAR2015_00:00:00.000000,371.27,-7.29,5287.0,769565,7.169999999999959,376.2100000000001
08:30 - 09:30,371.27,-7.29,5287.0,769565,7.169999999999959,375.18600000000015
09:30 - 10:30,371.62,0.35,2376.0,371023,2.930000000000007,374.0100000000001
10:30 - 11:30,369.87,-1.75,1806.0,230355,2.6100000000000136,372.51800000000014
11:30 - 12:30,370.36,0.49,1444.0,205022,1.6000000000000227,370.87800000000016
14:30 - 15:30,369.51,-0.35,2915.0,589200,0.9300000000000068,370.1920000000001
11MAR2015_00:00:00.000000,370.61,1.1,3053.0,458108,3.3500000000000227,369.9900000000001
08:30 - 09:30,370.61,1.1,3053.0,458108,3.3500000000000227,370.1380000000002
09:30 - 10:30,370.98,0.37,2190.0,290594,2.730000000000018,370.26200000000017
10:30 - 11:30,370.7,-0.28,1610.0,211542,1.5,370.48200000000014
11:30 - 12:30,370.13,-0.57,990.0,137265,1.580000000000041,370.60600000000017
14:30 - 15:30,366.37,-0.64,2390.0,505882,1.5199999999999818,369.61400000000015
12MAR2015_00:00:00.000000,372.85,6.48,3480.0,516198,5.53000000000003,369.9880000000001
08:30 - 09:30,372.85,6.48,3480.0,516198,5.53000000000003,370.41800000000006
09:30 - 10:30,373.0,0.15,2371.0,316749,1.8700000000000045,370.992
10:30 - 11:30,373.18,0.18,1632.0,262570,1.339999999999975,371.65
11:30 - 12:30,373.97,0.79,1904.0,297125,1.2600000000000477,373.1700000000001
14:30 - 15:30,374.24,-0.1,2929.0,524385,1.3600000000000136,373.51200000000017
13MAR2015_00:00:00.000000,369.37,-4.87,2827.0,455601,5.069999999999993,372.7860000000002
08:30 - 09:30,369.37,-4.87,2827.0,455601,5.069999999999993,372.0240000000001
09:30 - 10:30,368.2,-1.17,2018.0,300261,2.5,370.8700000000001
10:30 - 11:30,368.25,0.05,1579.0,231377,1.4300000000000068,369.8860000000001
11:30 - 12:30,367.88,-0.37,1273.0,170059,2.2099999999999795,368.6140000000001
14:30 - 15:30,370.58,1.01,3800.0,603441,2.2199999999999704,368.4920000000001
16MAR2015_00:00:00.000000,369.74,-0.84,4663.0,669349,5.229999999999961,368.8000000000001
08:30 - 09:30,369.74,-0.84,4663.0,669349,5.229999999999961,369.0980000000001
09:30 - 10:30,372.54,2.8,1884.0,264736,3.8700000000000045,370.0300000000001
10:30 - 11:30,371.63,-0.91,1289.0,160855,1.6899999999999977,370.8460000000001
11:30 - 12:30,372.24,0.61,878.0,135734,1.5,371.17800000000017
14:30 - 15:30,373.35,0.12,1579.0,344152,0.6500000000000341,372.5320000000002
17MAR2015_00:00:00.000000,371.32,-2.03,2690.0,468034,3.0500000000000114,372.2880000000002
08:30 - 09:30,371.32,-2.03,2690.0,468034,3.0500000000000114,372.2260000000002
09:30 - 10:30,370.74,-0.58,1751.0,279384,2.670000000000016,371.92600000000016
10:30 - 11:30,372.44,1.7,1094.0,165304,2.3000000000000114,371.8340000000001
11:30 - 12:30,373.06,0.62,1097.0,150030,1.759999999999991,371.7760000000001
14:30 - 15:30,371.92,-1.81,1439.0,395471,1.9599999999999795,372.3980000000001
18MAR2015_00:00:00.000000,368.65,-3.27,2277.0,404241,2.4699999999999704,371.9800000000001
08:30 - 09:30,368.65,-3.27,2277.0,404241,2.4699999999999704,371.22200000000004
09:30 - 10:30,367.68,-0.97,1636.0,240290,1.3899999999999864,370.146
10:30 - 11:30,367.03,-0.65,1223.0,162526,1.170000000000016,368.78600000000006
11:30 - 12:30,367.72,0.69,1177.0,162862,1.4499999999999886,367.9460000000001
14:30 - 15:30,375.14,-0.39,2086.0,346592,1.4499999999999886,370.09000000000003
19MAR2015_00:00:00.000000,376.08,0.94,2848.0,461086,4.509999999999991,371.77000000000004
08:30 - 09:30,376.08,0.94,2848.0,461086,4.509999999999991,373.58000000000004
09:30 - 10:30,375.37,-0.71,1241.0,173086,1.9600000000000364,375.11000000000007
10:30 - 11:30,373.84,-1.53,1335.0,179648,2.4899999999999523,375.302
11:30 - 12:30,374.01,0.17,1363.0,205952,2.509999999999991,375.07600000000014
14:30 - 15:30,373.19,-0.53,1588.0,322470,1.089999999999975,374.0920000000002
20MAR2015_00:00:00.000000,378.43,5.24,3181.0,1063175,2.75,374.7040000000002
08:30 - 09:30,378.43,5.24,3181.0,1063175,2.75,375.6220000000002
09:30 - 10:30,378.17,-0.26,2073.0,289645,1.330000000000041,376.4540000000001
10:30 - 11:30,378.23,0.06,1346.0,213506,1.1000000000000227,377.2900000000002
11:30 - 12:30,378.93,0.7,1153.0,176008,1.3000000000000114,378.4380000000002
14:30 - 15:30,378.49,0.27,2350.0,744111,1.0399999999999636,378.4100000000002
23MAR2015_00:00:00.000000,379.68,1.19,3228.0,521820,4.169999999999959,378.71200000000016
08:30 - 09:30,379.68,1.19,3228.0,521820,4.169999999999959,379.0020000000001
09:30 - 10:30,378.47,-1.21,1680.0,230034,2.1499999999999773,378.9100000000001
10:30 - 11:30,378.95,0.48,1477.0,190151,1.25,379.0540000000001
11:30 - 12:30,377.32,-1.63,889.0,150614,2.1899999999999977,378.8200000000001
14:30 - 15:30,375.11,-1.41,2073.0,338840,1.8600000000000136,377.55400000000003
24MAR2015_00:00:00.000000,372.83,-2.28,3547.0,548610,2.9700000000000273,376.42600000000004
08:30 - 09:30,372.83,-2.28,3547.0,548610,2.9700000000000273,375.2020000000001
09:30 - 10:30,374.12,1.29,2058.0,331555,2.0399999999999636,374.5620000000001
10:30 - 11:30,373.59,-0.53,1058.0,133558,1.1599999999999682,373.6960000000001
11:30 - 12:30,373.79,0.2,1370.0,223808,1.599999999999966,373.4320000000001
14:30 - 15:30,374.09,0.21,1794.0,283858,1.0199999999999818,373.9300000000001
25MAR2015_00:00:00.000000,379.64,5.55,5619.0,820573,5.5,375.0340000000001
08:30 - 09:30,379.64,5.55,5619.0,820573,5.5,376.2440000000001
09:30 - 10:30,377.73,-1.91,2247.0,297158,2.930000000000007,377.03200000000015
10:30 - 11:30,373.85,-3.88,2382.0,358084,4.740000000000009,376.9900000000001
11:30 - 12:30,372.13,-1.72,2252.0,331479,3.5600000000000023,376.5980000000002
14:30 - 15:30,370.96,-1.49,2439.0,491677,2.4399999999999977,373.6780000000002
26MAR2015_00:00:00.000000,367.82,-3.14,4325.0,694369,5.75,371.69600000000025
08:30 - 09:30,367.82,-3.14,4325.0,694369,5.75,370.49000000000035
09:30 - 10:30,368.02,0.2,2477.0,339553,2.740000000000009,369.6680000000003
10:30 - 11:30,367.89,-0.13,1321.0,180398,1.2099999999999795,368.5020000000003
11:30 - 12:30,366.95,-0.94,1367.0,277121,1.9399999999999977,367.7000000000003
14:30 - 15:30,367.35,-0.91,1917.0,451308,1.7799999999999727,367.4400000000004
27MAR2015_00:00:00.000000,370.03,2.68,3645.0,552159,4.930000000000007,367.8420000000004
08:30 - 09:30,370.03,2.68,3645.0,552159,4.930000000000007,368.2700000000003
09:30 - 10:30,371.74,1.71,1904.0,251597,2.680000000000007,369.2280000000004
10:30 - 11:30,370.09,-1.65,1780.0,250921,2.420000000000016,369.84800000000035
11:30 - 12:30,371.84,1.75,1232.0,182284,2.1999999999999886,370.7460000000004
14:30 - 15:30,370.56,-1.79,2775.0,500536,2.490000000000009,371.3320000000004
30MAR2015_00:00:00.000000,372.75,2.19,2773.0,410428,3.829999999999984,371.53400000000033
08:30 - 09:30,372.75,2.19,2773.0,410428,3.829999999999984,372.0660000000004
09:30 - 10:30,373.05,0.3,991.0,140839,1.3900000000000432,372.3080000000004
10:30 - 11:30,373.96,0.91,753.0,119424,1.2300000000000182,372.6140000000004
11:30 - 12:30,374.0,0.04,810.0,106594,0.7900000000000205,373.3020000000003
14:30 - 15:30,374.59,0.04,1628.0,334509,1.3899999999999864,374.03800000000035
31MAR2015_00:00:00.000000,374.34,-0.25,1899.0,276627,2.6899999999999977,374.2960000000004
08:30 - 09:30,374.34,-0.25,1899.0,276627,2.6899999999999977,374.3720000000004
09:30 - 10:30,376.17,1.83,1854.0,311097,2.980000000000018,374.8060000000004
10:30 - 11:30,376.25,0.08,1314.0,164716,1.1299999999999955,375.13800000000043
11:30 - 12:30,376.97,0.72,1370.0,221112,1.5699999999999932,375.61400000000043
14:30 - 15:30,372.1,-2.03,2583.0,671672,2.480000000000018,375.4700000000005
01APR2015_00:00:00.000000,369.4,-2.7,3851.0,573749,4.82000000000005,374.11600000000044
08:30 - 09:30,369.4,-2.7,3851.0,573749,4.82000000000005,372.74600000000044
09:30 - 10:30,370.24,0.84,1692.0,242416,2.759999999999991,371.40000000000043
10:30 - 11:30,369.27,-0.97,1764.0,224173,2.3799999999999955,370.08200000000045
11:30 - 12:30,369.19,-0.08,1051.0,153219,1.8100000000000023,369.50000000000045
14:30 - 15:30,370.26,0.67,1739.0,310501,1.2199999999999704,369.5980000000004
02APR2015_00:00:00.000000,371.95,1.69,2226.0,329484,4.279999999999973,369.9400000000004
08:30 - 09:30,371.95,1.69,2226.0,329484,4.279999999999973,370.4760000000004
09:30 - 10:30,370.11,-1.84,1122.0,144400,2.3500000000000227,370.6600000000004
10:30 - 11:30,370.81,0.7,1192.0,155807,1.3699999999999477,371.0160000000004
11:30 - 12:30,370.97,0.16,1043.0,157403,0.5299999999999727,371.1580000000004
14:30 - 15:30,372.25,0.91,2405.0,491620,1.6499999999999773,370.8700000000004
06APR2015_00:00:00.000000,376.07,3.82,2674.0,415505,7.039999999999964,372.06200000000035
08:30 - 09:30,376.07,3.82,2674.0,415505,7.039999999999964,373.1140000000004
09:30 - 10:30,374.92,-1.15,1893.0,305470,2.0499999999999545,373.9040000000004
10:30 - 11:30,376.28,1.36,1744.0,302491,1.9300000000000068,375.1180000000004
11:30 - 12:30,378.48,2.2,1589.0,264752,2.6000000000000227,376.3640000000004
14:30 - 15:30,377.04,0.24,2474.0,555556,1.329999999999984,377.1860000000005
07APR2015_00:00:00.000000,377.69,0.65,3050.0,448219,3.1399999999999864,377.7400000000004
08:30 - 09:30,377.69,0.65,3050.0,448219,3.1399999999999864,378.02200000000045
09:30 - 10:30,376.26,-1.43,1648.0,220233,3.2800000000000296,377.57800000000043
10:30 - 11:30,376.13,-0.13,1203.0,140056,1.3199999999999932,376.96200000000044
11:30 - 12:30,376.7,0.57,1136.0,153028,1.919999999999959,376.8940000000004
14:30 - 15:30,374.41,-0.44,1943.0,337695,1.6000000000000227,376.01800000000037
08APR2015_00:00:00.000000,380.07,5.66,3730.0,628278,5.890000000000043,376.7800000000004
08:30 - 09:30,380.07,5.66,3730.0,628278,5.890000000000043,377.5680000000004
09:30 - 10:30,380.83,0.76,2434.0,355366,2.8100000000000023,378.39400000000035
10:30 - 11:30,380.23,-0.6,1642.0,223758,1.5699999999999932,379.12200000000036
11:30 - 12:30,379.77,-0.46,1539.0,209621,2.2999999999999545,380.19400000000036
14:30 - 15:30,381.2,1.04,2156.0,356520,1.5599999999999454,380.48200000000037
09APR2015_00:00:00.000000,382.03,0.83,4055.0,626137,4.0,380.7220000000004
08:30 - 09:30,382.03,0.83,4055.0,626137,4.0,381.08200000000045
09:30 - 10:30,380.12,-1.91,2506.0,379680,3.099999999999966,381.1520000000004
10:30 - 11:30,382.52,2.4,1285.0,180463,2.890000000000043,381.5800000000004
11:30 - 12:30,381.5,-1.02,963.0,136763,1.509999999999991,381.6400000000004
14:30 - 15:30,383.54,0.96,2058.0,354491,1.5,381.9240000000004
10APR2015_00:00:00.000000,386.6,3.06,4875.0,715674,5.600000000000023,383.2200000000004
08:30 - 09:30,386.6,3.06,4875.0,715674,5.600000000000023,384.0360000000004
09:30 - 10:30,385.25,-1.35,2440.0,329715,2.910000000000025,384.7860000000004
10:30 - 11:30,385.01,-0.24,1454.0,181719,1.080000000000041,385.40000000000043
11:30 - 12:30,383.93,-1.08,1073.0,148525,1.6999999999999886,385.4780000000004
14:30 - 15:30,382.65,-1.08,1826.0,304849,1.3600000000000136,384.1760000000005
13APR2015_00:00:00.000000,382.99,0.34,2398.0,342570,2.9699999999999704,383.7240000000005
08:30 - 09:30,382.99,0.34,2398.0,342570,2.9699999999999704,383.3200000000005
09:30 - 10:30,382.23,-0.76,1296.0,194517,1.740000000000009,382.98000000000053
10:30 - 11:30,381.06,-1.17,958.0,133650,1.9699999999999704,382.3840000000006
11:30 - 12:30,380.46,-0.6,1255.0,181802,1.3600000000000136,381.94600000000054
14:30 - 15:30,382.36,0.01,1920.0,398942,1.2299999999999613,381.51000000000056
14APR2015_00:00:00.000000,383.68,1.32,4561.0,782356,5.089999999999975,381.8000000000005
08:30 - 09:30,383.68,1.32,4561.0,782356,5.089999999999975,382.3240000000005
09:30 - 10:30,383.94,0.26,2051.0,302624,3.170000000000016,383.02000000000055
10:30 - 11:30,385.45,1.51,1408.0,202884,2.7099999999999795,383.82200000000046
11:30 - 12:30,383.74,-1.71,845.0,151136,2.599999999999966,384.0980000000004
14:30 - 15:30,385.11,0.15,1590.0,343825,0.6899999999999977,384.6700000000004
15APR2015_00:00:00.000000,382.16,-2.95,3863.0,565275,3.9799999999999613,384.3140000000004
08:30 - 09:30,382.16,-2.95,3863.0,565275,3.9799999999999613,383.65600000000035
09:30 - 10:30,382.77,0.61,1776.0,231680,2.2200000000000273,383.4620000000004
10:30 - 11:30,383.0,0.23,701.0,96641,1.8199999999999932,383.0400000000004
11:30 - 12:30,384.33,1.33,884.0,118263,1.8000000000000114,382.88400000000036
14:30 - 15:30,383.45,-1.13,1076.0,288188,1.329999999999984,383.6260000000003
16APR2015_00:00:00.000000,384.58,1.13,2818.0,432106,2.849999999999966,383.9880000000004
08:30 - 09:30,384.58,1.13,2818.0,432106,2.849999999999966,384.30400000000037
09:30 - 10:30,386.77,2.19,2121.0,290096,2.920000000000016,384.79200000000037
10:30 - 11:30,384.9,-1.87,1287.0,179641,2.089999999999975,384.8560000000004
11:30 - 12:30,384.87,-0.03,826.0,111969,0.8199999999999932,385.1400000000004
14:30 - 15:30,386.04,0.64,2434.0,401841,1.1800000000000068,385.74200000000036
17APR2015_00:00:00.000000,380.66,-5.38,3765.0,661328,3.1999999999999886,384.5200000000003
08:30 - 09:30,380.66,-5.38,3765.0,661328,3.1999999999999886,383.6720000000003
09:30 - 10:30,379.62,-1.04,2039.0,321093,2.839999999999975,382.6220000000003
10:30 - 11:30,377.68,-1.94,2049.0,335978,3.2900000000000205,380.93200000000024
11:30 - 12:30,378.11,0.43,1756.0,244793,2.569999999999993,379.3460000000003
14:30 - 15:30,375.56,-0.58,4438.0,694365,1.75,377.4960000000003
20APR2015_00:00:00.000000,380.13,4.57,3536.0,570771,4.110000000000014,377.5980000000003
08:30 - 09:30,380.13,4.57,3536.0,570771,4.110000000000014,378.0880000000003
09:30 - 10:30,382.74,2.61,2022.0,285474,3.0500000000000114,379.0140000000003
10:30 - 11:30,383.33,0.59,2134.0,298067,1.6299999999999955,380.37800000000027
11:30 - 12:30,386.39,3.06,3875.0,568614,4.460000000000036,382.5440000000003
14:30 - 15:30,389.51,-1.44,3597.0,928016,2.1000000000000227,386.0180000000002
21APR2015_00:00:00.000000,387.76,-1.75,5825.0,1057784,5.349999999999966,387.0220000000003
08:30 - 09:30,387.76,-1.75,5825.0,1057784,5.349999999999966,387.90800000000024
09:30 - 10:30,388.95,1.19,3523.0,574892,2.329999999999984,388.42000000000024
10:30 - 11:30,391.0,2.05,3094.0,550869,2.4700000000000273,388.99600000000027
11:30 - 12:30,392.03,1.03,2280.0,342325,2.140000000000043,389.5000000000002
14:30 - 15:30,391.18,-0.62,2577.0,473906,1.8100000000000023,391.3680000000003
22APR2015_00:00:00.000000,390.03,-1.15,4283.0,800131,4.680000000000007,391.58400000000023
08:30 - 09:30,390.03,-1.15,4283.0,800131,4.680000000000007,391.3900000000002
09:30 - 10:30,391.81,1.78,2987.0,520045,3.3600000000000136,391.34600000000023
10:30 - 11:30,392.17,0.36,2596.0,445657,2.589999999999975,391.0440000000002
11:30 - 12:30,390.16,-2.01,1555.0,257972,2.259999999999991,390.8400000000002
14:30 - 15:30,389.8,-0.28,2182.0,372420,0.8799999999999955,390.96600000000024
23APR2015_00:00:00.000000,387.98,-1.82,4904.0,806232,2.8899999999999864,390.2000000000003
08:30 - 09:30,387.98,-1.82,4904.0,806232,2.8899999999999864,389.36200000000025
09:30 - 10:30,387.35,-0.63,3572.0,591840,2.1100000000000136,388.80000000000024
10:30 - 11:30,387.27,-0.08,2613.0,390526,1.670000000000016,388.0760000000003
11:30 - 12:30,388.1,0.83,3037.0,464696,2.3899999999999864,387.7360000000003
14:30 - 15:30,390.0,-1.8,4543.0,749969,2.919999999999959,388.27800000000025
24APR2015_00:00:00.000000,447.73,57.73,38238.0,6358868,13.649999999999977,400.35400000000027
08:30 - 09:30,447.73,57.73,38238.0,6358868,13.649999999999977,412.44600000000025
09:30 - 10:30,446.84,-0.89,11648.0,1983864,5.089999999999975,424.1940000000003
10:30 - 11:30,449.63,2.79,6876.0,1342542,4.3799999999999955,436.3860000000003
11:30 - 12:30,450.01,0.38,5950.0,1095119,2.670000000000016,448.38800000000026
14:30 - 15:30,445.1,-2.04,7462.0,1349743,3.339999999999975,447.6800000000003
27APR2015_00:00:00.000000,442.93,-2.17,9626.0,1711202,5.310000000000002,446.89800000000025
08:30 - 09:30,442.93,-2.17,9626.0,1711202,5.310000000000002,445.55800000000016
09:30 - 10:30,444.4,1.47,3151.0,489186,2.8000000000000114,444.43600000000026
10:30 - 11:30,439.92,-4.48,3177.0,472466,4.990000000000009,443.0560000000002
11:30 - 12:30,440.57,0.65,2646.0,420903,1.910000000000025,442.15000000000026
14:30 - 15:30,438.56,-0.64,3539.0,589538,2.1199999999999477,440.7380000000004
28APR2015_00:00:00.000000,434.46,-4.1,4933.0,735583,5.300000000000011,438.75000000000034
08:30 - 09:30,434.46,-4.1,4933.0,735583,5.300000000000011,437.65800000000036
09:30 - 10:30,434.51,0.05,3188.0,456963,3.650000000000034,436.44600000000037
10:30 - 11:30,433.15,-1.36,2425.0,429764,2.5299999999999727,435.0280000000004
11:30 - 12:30,432.58,-0.57,1880.0,280276,2.420000000000016,433.83200000000045
14:30 - 15:30,429.31,-0.97,3887.0,592174,2.9599999999999795,432.2960000000004
29APR2015_00:00:00.000000,430.08,0.77,5695.0,899751,8.090000000000032,431.4100000000004
08:30 - 09:30,430.08,0.77,5695.0,899751,8.090000000000032,430.7960000000004
09:30 - 10:30,432.07,1.99,2320.0,341641,3.2700000000000387,430.6940000000004
10:30 - 11:30,427.7,-4.37,1564.0,225531,4.350000000000023,429.8480000000004
11:30 - 12:30,427.66,-0.04,2056.0,276608,2.730000000000018,429.51800000000037
14:30 - 15:30,429.37,-0.89,1933.0,300754,2.2199999999999704,429.7100000000004
30APR2015_00:00:00.000000,428.08,-1.29,3350.0,500940,4.649999999999977,428.9120000000004
08:30 - 09:30,428.08,-1.29,3350.0,500940,4.649999999999977,428.9880000000004
09:30 - 10:30,429.15,1.07,3265.0,455751,4.819999999999993,429.2860000000004
10:30 - 11:30,426.5,-2.65,1602.0,214705,3.4399999999999977,428.23600000000044
11:30 - 12:30,425.08,-1.42,1711.0,241712,2.0399999999999636,427.37800000000044
14:30 - 15:30,421.82,1.89,3276.0,634698,3.0600000000000023,424.97000000000054
01MAY2015_00:00:00.000000,419.12,-2.7,5534.0,821327,8.039999999999964,422.9640000000005
08:30 - 09:30,419.12,-2.7,5534.0,821327,8.039999999999964,421.48800000000045
09:30 - 10:30,417.43,-1.69,3042.0,461118,3.259999999999991,419.9580000000004
10:30 - 11:30,419.99,2.56,3390.0,496980,3.1499999999999773,419.49600000000044
11:30 - 12:30,420.67,0.68,1560.0,218367,2.1299999999999955,419.2660000000004
14:30 - 15:30,422.8,0.69,2359.0,391837,1.580000000000041,420.38800000000055
04MAY2015_00:00:00.000000,427.16,4.36,3529.0,575136,5.109999999999957,422.3340000000006
08:30 - 09:30,427.16,4.36,3529.0,575136,5.109999999999957,423.7680000000006
09:30 - 10:30,426.1,-1.06,1552.0,231864,2.330000000000041,424.85400000000055
10:30 - 11:30,425.76,-0.34,1032.0,153626,1.839999999999975,425.79600000000045
11:30 - 12:30,423.46,-2.3,1338.0,199378,3.409999999999968,425.92800000000045
14:30 - 15:30,423.04,-1.11,1491.0,417297,1.8000000000000114,424.62000000000046
05MAY2015_00:00:00.000000,424.6,1.56,3844.0,586758,5.360000000000014,424.32000000000045
08:30 - 09:30,424.6,1.56,3844.0,586758,5.360000000000014,424.0880000000005
09:30 - 10:30,424.37,-0.23,2376.0,360962,2.430000000000007,424.27000000000044
10:30 - 11:30,425.72,1.35,1709.0,219829,2.420000000000016,424.4660000000005
11:30 - 12:30,424.87,-0.85,1507.0,213749,2.410000000000025,424.8320000000005
14:30 - 15:30,421.19,-2.97,2732.0,546345,3.1200000000000045,423.91400000000056
06MAY2015_00:00:00.000000,420.14,-1.05,3069.0,495011,5.740000000000009,423.06800000000055
08:30 - 09:30,420.14,-1.05,3069.0,495011,5.740000000000009,421.95200000000057
09:30 - 10:30,419.6,-0.54,1550.0,213084,2.8100000000000023,420.8980000000006
10:30 - 11:30,419.61,0.01,1608.0,230321,2.3100000000000023,420.1360000000006
11:30 - 12:30,418.12,-1.49,1174.0,142592,2.0500000000000114,419.52200000000056
14:30 - 15:30,419.1,3.1,3256.0,515783,3.509999999999991,418.7180000000006
07MAY2015_00:00:00.000000,424.11,5.01,5334.0,743417,4.880000000000052,419.62000000000063
