,Cerrar,Var neta,Núm de ticks,Volumen,rango,MVA5
09:30 - 10:30,401.95,-2.59,5181.0,816693,7.449999999999989,404.3979999999999
10:30 - 11:30,402.92,0.97,2363.0,308862,2.069999999999993,403.83799999999985
11:30 - 12:30,401.63,-1.29,992.0,135792,2.509999999999991,403.17199999999985
14:30 - 15:30,399.38,0.27,1765.0,222189,1.4700000000000273,400.7299999999999
15:30 - 16:30,399.91,0.53,1952.0,329178,1.5100000000000477,400.1279999999999
09:30 - 10:30,396.53,-3.38,5515.0,848506,4.759999999999991,399.10799999999983
10:30 - 11:30,392.91,-3.62,4058.0,558600,4.069999999999993,397.56799999999976
11:30 - 12:30,394.34,1.43,2359.0,345986,2.8500000000000227,396.61399999999975
14:30 - 15:30,389.14,-1.81,2419.0,323685,2.4399999999999977,391.92799999999977
15:30 - 16:30,387.27,-1.87,4685.0,870976,2.400000000000034,390.7999999999998
09:30 - 10:30,383.53,-3.74,6469.0,1069741,11.450000000000045,388.6379999999998
10:30 - 11:30,386.17,2.64,3618.0,504675,6.970000000000027,387.41199999999975
11:30 - 12:30,382.91,-3.26,2148.0,279369,5.889999999999986,385.80399999999975
14:30 - 15:30,387.94,-0.12,2149.0,266176,2.0600000000000023,385.9799999999998
15:30 - 16:30,386.28,-1.66,2767.0,427300,2.9399999999999977,386.0019999999998
09:30 - 10:30,392.06,5.78,5047.0,726080,7.279999999999973,387.83199999999977
10:30 - 11:30,390.94,-1.12,2727.0,374075,2.75,389.0559999999997
11:30 - 12:30,390.9,-0.04,2025.0,290023,3.240000000000009,389.6239999999997
14:30 - 15:30,393.86,0.65,1241.0,157883,1.660000000000025,392.26399999999967
15:30 - 16:30,394.42,0.56,1766.0,292941,1.3000000000000114,392.9599999999997
09:30 - 10:30,387.51,-6.91,4299.0,596215,5.650000000000034,392.2819999999997
10:30 - 11:30,389.14,1.63,2046.0,278887,2.480000000000018,391.62799999999964
11:30 - 12:30,389.3,0.16,2196.0,286249,2.069999999999993,390.84599999999966
14:30 - 15:30,384.06,-1.67,3116.0,411365,4.0,387.30599999999964
15:30 - 16:30,384.2,0.14,2941.0,425322,2.8999999999999773,386.31799999999964
09:30 - 10:30,391.27,7.07,7006.0,962187,6.100000000000023,386.71199999999965
10:30 - 11:30,397.8,6.53,5410.0,813732,6.930000000000007,388.6119999999997
11:30 - 12:30,399.69,1.89,4903.0,672245,4.03000000000003,391.40399999999966
14:30 - 15:30,404.95,2.11,5911.0,816204,2.519999999999982,401.21399999999966
15:30 - 16:30,402.65,-2.3,7593.0,1142526,4.199999999999989,402.1839999999997
09:30 - 10:30,369.77,-32.88,28576.0,4252603,10.449999999999989,396.1999999999997
10:30 - 11:30,366.42,-3.35,16078.0,2314782,6.949999999999989,389.32599999999974
11:30 - 12:30,364.29,-2.13,8660.0,1228548,2.9700000000000273,381.61599999999976
14:30 - 15:30,360.09,-3.13,9079.0,1235840,4.2900000000000205,363.61799999999977
15:30 - 16:30,358.69,-1.4,10415.0,1711403,2.7800000000000296,362.0719999999998
